Rubro;Descripcion;Rubro_Padre;Activo;Orden;RubroNuevoID;MensajeBaja
69;FILTROS DE ACEITE;0;N;56;\N;\N
70;DISTRIBUCION - CORREAS DE;0;Y;44;\N;\N
71;COJINETES AXIALES-JUEGO DE - NDC - LLE - TDC;0;Y;31;\N;\N
72;CAMISA ACERO;0;Y;27;\N;\N
74;BLOCK-SEMIARMADOS Y MOTORES;0;Y;11;\N;\N
75;OIL COOLER - REFRIGERADORES DE ACEITE;0;Y;86;\N;
76;VALVULAS - REGISTRO DE;0;Y;105;\N;\N
500;L.GENERAL;\N;Y;3;\N;\N
79;PISTON CON PERNO OFERTA IMPORTADO FM;0;Y;83;\N;\N
81;SUBCONJUNTO RIK-NOZUMI JAPON;0;Y;93;\N;
83;TURBOS;0;Y;100;\N;\N
85;BULON DE BIELA;0;Y;24;\N;\N
88;TORNILLOS DE TAPA DE CILINDRO - JUEGO;0;Y;98;\N;\N
89;BOTADORES;0;Y;20;\N;\N
91;CIGÜEÑALES;0;Y;30;\N;\N
96;JUNTAS DE TAPA DE CILINDROS ERISTIC - MATTO;0;Y;75;\N;\N
98;DISTRIBUCION - CADENAS DE;0;Y;42;\N;\N
99;BOMBA DE AGUA VISCOSO DE  SHIMAHIDE-NUK-NOZUMI;0;Y;18;\N;
3;RETENES;0;Y;88;\N;\N
101;FILTRO COMBUSTIBLE;0;N;68;\N;\N
560;RADIADORES;500;Y;49;\N;\N
570;CAÑOS DE AGUA DE ALUMINIO Y CHAPA;500;Y;13;\N;\N
600;SALIENTE DE PISTONES DIESEL;900;Y;510;\N;\N
105;BOMBA DE AGUA GMB - NUK;0;Y;17;\N;\N
700;FILTROS DE AIRE;500;Y;36;\N;\N
701;FILTROS DE ACEITE;500;Y;37;\N;\N
111;CONJUNTOS CON ARO TAIWAN;0;Y;36;\N;\N
112;ARBOL DE LEVAS;0;Y;1;\N;\N
115;DISTRIBUCION - TENSORES CORREA J.MEN - GMB;0;Y;51;\N;\N
900;NOTAS TECNICAS Y CATALOGOS;\N;Y;1;\N;\N
901;TORQUES;900;Y;502;\N;\N
902;CABEZA DE PISTONES;900;Y;504;\N;
702;FILTROS DE COMBUSTIBLE;500;Y;38;\N;\N
703;FILTROS DE HABITACULO;500;Y;39;\N;\N
610;RULEMANES DE RUEDA;500;Y;53;500;
980;BOBINA - MODULOS DE IGNISION  Y CAPTORES;500;Y;2;\N;
120;Espejos;500;Y;26;\N;
650;AMORTIGUADORES;500;Y;1;\N;
100;DISTRIBUCION TENSOR Y POLEA DE A/C Y ALTERNADOR;0;Y;53;\N;
611;RULEMAN O MANCHON DE CARDAN;500;Y;54;\N;
651;BOMBAS DE DIRECCION HIDRAULICAS;500;Y;4;\N;
910;CIGUEÑALES;900;Y;610;\N;
150;FRENO FLEXIBLES;500;Y;35;\N;
981;INYECTOR DE COMBUSTIBLE;500;Y;41;\N;
200;VALVULAS RESORTES DE;0;Y;108;\N;
